,name,enrolled,passed
392,Vybrané partie ze struktury pevných látek [11VPS],3,3
393,Vybrané partie z funkcionální analýzy [01VPFA],17,9
394,Vybrané partie z fyziky MCF [02PMCF],3,3
395,Vybrané partie z ICF [12PICF],1,0
396,Vybrané partie z legislativy [17VPL],7,5
397,Vybrané partie z matematiky [01VYMA],72,58
398,Vybrané přednášky z energetiky [17VYPE],8,8
399,Vyhořelé jaderné palivo a radioaktivní odpady [17VPO],13,13
400,Vysokofrekvenční a impulsní technika [12VFT],2,0
401,Využívání výzkumných reaktoru pro výzkum a průmysl [17VYRR],13,6
402,Výzkumné reaktory [17VYR],9,3
403,Zahr. stáž v rámci programů výměny studentů přes rektorát [00ZST2],9,9
404,Základní praktikum [16ZPRA],12,10
405,Základní praktikum z laserové techniky [12ZPLT],11,9
406,Základní praktikum z optiky [12ZPOP],10,10
407,Základy algoritmizace [18ZALG],107,35
408,Základy algoritmizace [818ZALG],13,6
409,Základy analytických měřicích metod [16AMMB],5,0
410,Základy atomové a jaderné fyziky [02ZAJF],14,5
411,Základy biochemie [15ZBCH],13,5
412,"Základy biologie, anatomie a fyziologie člověka 2 [16ZBAF2]",12,11
413,Základy dozimetrie [16ZDO],4,2
414,Základy dozimetrie [16ZDOZ2],14,9
415,Základy elektroniky 2 [12ZEL2],45,28
416,Základy fyzikálních měření 2 [02ZFM2],93,62
417,Základy fyziky jaderných reaktorů [17ZAFP],1,1
418,Základy fyziky jaderných reaktorů 2 [17ZAF2],20,10
419,Základy fyziky kondenzovaných látek [11ZFKL],5,4
420,Základy fyziky plazmatu [12ZFP],13,10
421,Základy konstrukce a funkce jader. elektráren [15ZKJE],17,11
422,Základy kvantové chromodynamiky [02ZQCD],9,8
423,Základy operačních systémů [01ZOS],22,19
424,Základy počítačové bezpečnosti [01ZPB],15,10
425,Základy počítačových simulací [18ZPS],7,2
426,Základy standardního modelu mikrosvěta [02ZSM],7,4
427,Základy strojírenské technologie [02ZST],2,2
428,Základy teorie informace [18ZTI],14,7
429,Základy umělé inteligence [12ZUMI],6,4
430,Zkoušení a zpracování kovů a slitin [14ZZKS],4,4
431,Zobecněné lineární modely a aplikace [01ZLIM],13,6
432,Zpracování a rozpoznávání obrazu 1 [01ROZ1],39,30
433,Zpracování dat z finančních trhů [18ZDFT],9,5
434,Zpracování diagnostických signálů [01ZSIG],7,1
