,name,enrolled,passed
459,Základy fyziky jaderných reaktorů 1 [17ZAF1],26,2
460,Základy fyziky laserového plazmatu [12ZFLP],7,3
461,Základy fyziky pevných látek [11ZFPL],14,3
462,Základy jaderné bezpečnosti [17ZJBE],7,7
463,Základy jaderné fyziky [02ZJF],33,14
464,Základy jaderné fyziky B [02ZJFB],11,7
465,Základy metrologie ionizujícího záření [16MEZB],5,0
466,Základy optické fyziky [12ZAOF],3,0
467,Základy optiky [12ZAOP],12,11
468,Základy práce s počítačem [16ZPSP],75,29
469,Základy preventivního lékařství pro techniky [16HEB],10,10
470,Základy programování [18ZPRO],372,144
471,Základy programování [818ZPRO],22,10
472,Základy první pomoci [16ZPP],16,11
473,Základy první pomoci pro techniky [16ZPPB],6,6
474,Základy radiační ochrany [16RAOB],6,4
475,Základy radiační ochrany [16ZRAO],27,14
476,Základy teorie elektroslabých interakcí [02ZESI],10,8
477,Základy teorie grafů [01ZTG],41,25
478,Základy zpracování experimentálních dat [16ZEDB],1,0
479,Zařízení jaderné techniky [16ZJT],13,10
480,Závěrečná praxe [17PRAXB],8,0
481,Závěrečná předdiplomní praxe [17PRAXD],13,13
482,Zimní škola fyziky plazmatu a termojaderné fúze [02ZLSTF1],5,3
483,Zimní škola matematické fyziky [02ZS],2,2
484,Znalostní ekonomika [18ZNEK],13,11
485,Znalostní ekonomika [818ZNEK],8,8
486,Zpracování a rozpoznávání obrazu 2 [01ROZP2],28,22
487,Zpracování dat pro publikování [12ZDP],15,11
488,Zpracování dat pro publikování [818ZDP],8,8
489,Zpracování experimentálních dat [16ZED],15,9
490,Zpracování měření a dat [12ZMD],10,4
